OBJECTID,METER_ID,VENDOR,PAY_POLICY,PARK_NO_PAY,TOW_AWAY,BLK_NO,STREET,LONGITUDE,LATITUDE,G_DISTRICT,G_SUBZONE,G_ZONE,BASE_RATE
2181,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BERK,COLUMBUS AV,-71.072645,42.348084,DISTRICT 0,0CD,CD,0.25
2182,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.072804,42.347952,DISTRICT 0,0CD,CD,0.25
2183,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.072853,42.347915,DISTRICT 0,0CD,CD,0.25
2184,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.072902,42.347878,DISTRICT 0,0CD,CD,0.25
2185,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.072951,42.347841,DISTRICT 0,0CD,CD,0.25
2186,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.073,42.347804,DISTRICT 0,0CD,CD,0.25
2187,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.073049,42.347767,DISTRICT 0,0CD,CD,0.25
2188,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.073097,42.347729,DISTRICT 0,0CD,CD,0.25
2189,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.073146,42.347692,DISTRICT 0,0CD,CD,0.25
2190,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.073195,42.347655,DISTRICT 0,0CD,CD,0.25
2191,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.073244,42.347618,DISTRICT 0,0CD,CD,0.25
2192,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.073293,42.347581,DISTRICT 0,0CD,CD,0.25
